,buggy_prompt_ids
0,0
1,2
2,4
3,5
4,6
5,7
6,8
7,11
8,12
9,13
10,14
11,15
12,16
13,17
14,19
15,21
16,24
17,25
18,28
19,33
20,34
21,36
22,37
23,38
24,39
25,41
26,42
27,43
28,44
29,47
30,49
31,50
32,51
33,52
34,53
35,54
36,57
37,58
38,59
39,60
40,62
41,63
42,64
43,65
44,67
45,72
46,74
47,75
48,76
49,77
50,78
51,79
52,80
53,82
54,83
55,84
56,85
57,86
58,87
59,88
60,89
61,90
62,91
63,92
64,93
65,96
66,97
67,101
68,102
69,105
70,107
71,109
72,111
73,112
74,113
75,114
76,115
77,117
78,118
79,119
80,121
81,122
82,126
83,128
84,129
85,130
86,133
87,134
88,136
89,137
90,138
91,140
92,143
93,145
94,148
95,153
96,156
97,157
98,159
99,160
100,161
101,162
102,166
103,168
104,173
105,174
106,178
107,183
108,184
109,185
110,186
111,188
112,190
113,195
114,196
115,197
116,198
117,199
118,201
119,203
120,205
121,206
122,207
123,209
124,211
125,213
126,217
127,218
128,220
129,221
130,223
131,224
132,225
133,226
134,227
135,228
136,229
137,230
138,232
139,233
140,235
141,237
142,238
143,239
144,242
145,243
146,244
147,248
148,249
149,250
150,251
151,252
152,253
153,254
154,255
155,261
156,266
157,267
158,270
159,271
160,273
161,274
162,277
163,280
164,281
165,282
166,284
167,285
168,286
169,287
170,291
171,292
172,294
173,296
174,297
175,298
176,299
177,300
178,301
179,302
180,303
181,304
182,305
183,309
184,311
185,312
186,314
187,316
188,317
189,318
190,319
191,324
192,325
193,326
194,327
195,328
196,331
197,332
198,333
199,336
200,340
201,342
202,343
203,346
204,349
205,350
206,352
207,353
208,356
209,357
210,358
211,359
212,360
213,361
214,362
215,366
216,368
217,369
218,370
219,371
220,372
221,375
222,376
223,377
224,378
225,379
226,380
227,381
228,383
229,385
230,386
231,387
232,389
233,390
234,391
235,392
236,394
237,395
238,397
239,398
240,401
241,403
242,404
243,406
244,407
245,408
246,411
247,412
248,414
249,415
250,418
251,419
252,420
253,422
254,423
255,427
256,428
257,430
258,431
259,433
260,436
261,438
262,439
263,442
264,443
265,445
266,451
267,452
268,453
269,456
270,458
271,463
272,464
273,465
274,466
275,467
276,468
277,472
278,473
279,476
280,477
281,479
282,483
283,485
284,486
285,488
286,490
287,491
288,494
289,496
290,497
291,498
292,499
293,501
294,502
295,503
296,504
297,506
298,509
299,510
300,514
301,515
302,516
303,517
304,518
305,519
306,522
307,523
308,525
309,526
310,528
311,529
312,530
313,531
314,532
315,533
316,534
317,535
318,537
319,539
320,541
321,543
322,545
323,546
324,548
325,549
326,555
327,557
328,560
329,561
330,562
331,563
332,565
333,566
334,567
335,569
336,572
337,574
338,577
339,578
340,579
341,582
342,584
343,585
344,586
345,588
346,589
347,590
348,591
349,592
350,593
351,594
352,595
353,596
354,597
355,598
356,603
357,605
358,606
359,607
360,608
361,610
362,611
363,612
364,613
365,615
366,616
367,618
368,619
369,620
370,622
371,623
372,624
373,626
374,628
375,629
376,631
377,634
378,635
379,636
380,639
381,640
382,642
383,643
384,644
385,649
386,650
387,651
388,653
389,654
390,656
391,659
392,660
393,663
394,664
395,665
396,667
397,668
398,669
399,670
400,671
401,675
402,679
403,681
404,682
405,684
406,685
407,687
408,688
409,689
410,690
411,691
412,692
413,693
414,696
415,701
416,705
417,706
418,707
419,709
420,710
421,713
422,714
423,716
424,717
425,718
426,719
427,722
428,725
429,726
430,727
431,728
432,729
433,730
434,731
435,732
436,733
437,735
438,736
439,737
440,738
441,739
442,740
443,741
444,742
445,743
446,745
447,747
448,748
449,749
450,750
451,752
452,753
453,754
454,755
455,756
456,760
457,761
458,762
459,763
460,764
461,766
462,768
463,769
464,770
465,771
466,772
467,774
468,775
469,776
470,778
471,779
472,780
473,781
474,783
475,784
476,785
477,787
478,790
479,792
480,794
481,795
482,797
483,798
484,800
485,804
486,805
487,809
488,812
489,814
490,816
491,818
492,822
493,824
494,828
495,830
496,833
497,836
498,838
499,840
500,842
501,844
502,847
503,850
504,851
505,852
506,855
507,857
508,859
509,861
510,862
511,863
512,864
513,865
514,870
515,872
516,873
517,874
518,876
519,878
520,882
521,885
522,886
523,887
524,888
525,890
526,892
527,893
528,898
529,899
530,900
531,902
532,905
533,906
534,907
535,910
536,911
537,912
538,915
539,916
540,918
541,920
542,922
543,925
544,926
545,927
546,932
547,933
548,938
549,941
550,944
551,945
552,947
553,948
554,951
555,952
556,954
557,956
558,958
559,960
560,961
561,962
562,963
563,964
564,965
565,966
566,967
567,968
568,970
569,971
570,972
571,973
572,976
573,977
574,979
575,981
576,986
577,987
578,988
579,989
580,992
581,993
582,994
583,997
584,1000
585,1001
586,1003
587,1004
588,1005
589,1006
590,1010
591,1011
592,1012
593,1017
594,1019
595,1020
596,1021
597,1024
598,1025
599,1027
600,1031
601,1032
602,1035
603,1037
604,1040
605,1042
606,1043
607,1045
608,1046
609,1048
610,1049
611,1050
612,1051
613,1052
614,1055
615,1056
616,1058
617,1059
618,1060
619,1062
620,1063
621,1065
622,1066
623,1068
624,1069
625,1070
626,1071
627,1072
628,1073
629,1074
630,1076
631,1078
632,1079
633,1080
634,1083
635,1085
636,1086
637,1088
638,1089
639,1090
640,1091
641,1094
642,1096
643,1097
644,1099
645,1100
646,1104
647,1105
648,1106
649,1107
650,1108
651,1110
652,1111
653,1113
654,1115
655,1117
656,1119
657,1120
658,1122
659,1124
660,1126
661,1127
662,1128
663,1129
664,1132
665,1135
666,1136
667,1137
668,1138
669,1139
670,1140
671,1141
672,1143
673,1144
674,1145
675,1146
676,1147
677,1148
678,1149
679,1150
680,1151
681,1152
682,1153
683,1154
684,1155
685,1159
686,1161
687,1165
688,1166
689,1168
690,1170
691,1173
692,1174
693,1175
694,1176
695,1177
696,1178
697,1180
698,1181
699,1185
700,1186
701,1187
702,1188
703,1190
704,1191
705,1192
706,1193
707,1198
708,1199
709,1200
710,1201
711,1202
712,1204
713,1205
714,1206
715,1207
716,1208
717,1209
718,1210
719,1212
720,1213
721,1214
722,1215
723,1219
724,1225
725,1226
726,1227
727,1231
728,1232
729,1233
730,1235
731,1238
732,1239
733,1240
734,1241
735,1243
736,1246
737,1247
738,1249
739,1254
740,1256
741,1257
742,1258
743,1261
744,1262
745,1263
746,1264
747,1266
748,1268
749,1270
750,1271
751,1272
752,1273
753,1276
754,1278
755,1279
756,1280
757,1281
758,1284
759,1285
760,1287
761,1288
762,1290
763,1291
764,1292
765,1293
766,1297
767,1298
768,1299
769,1300
770,1305
771,1307
772,1308
773,1309
774,1311
775,1312
776,1313
777,1314
778,1315
779,1317
